"","Label","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50"
"11","negative",0.00277173504316962,0.0398020973529238,-0.00399195888153467,-0.00492963459186653,-0.0040578163409828,-0.00320432162032786,-0.00520851430301223,-0.00438203198576793,0.00238719805206931,-0.00431359778937719,-0.000792562227957586,0.00591738888582957,0.0011132753813928,-0.00097283982548241,0.00469176259059812,-0.00826506865233575,0.00468115946013466,-0.012087362954239,-0.010384997018916,-0.00243864705684685,-0.000631668766439331,0.00627495257987207,-0.010169841154291,-0.0134054843839338,-0.00322863555274805,-0.000670914035027139,0.00365374191497399,-0.0101456891194505,0.00149408286987265,-0.00197910744118637,0.000863185475510376,0.00227289711221541,-0.000254053909827597,-0.00382277849270685,0.0146645770386915,0.00509254203845749,-0.00910272733806703,-0.0024934766701023,-0.00152695358293524,0.00271049410703586,-0.0039340602850646,-0.00288488137659716,-0.000646542015367804,-0.00398058630916197,0.00507866891481764,0.0155373763140101,0.00086083602421717,-0.00500870710067177,-0.00797556099989409,-0.00532847647127328
"12","negative",0.0022513975791697,0.0312820636889313,-0.00505128812842679,-0.00344835669272141,-0.00282558894220389,-0.00353522810879945,9.60816240943946e-06,-0.00236374169408551,0.00122894545227271,-0.00294200945073801,-0.00441398875384731,0.00139306864114421,-0.00352640397909097,-0.000998495707897415,-0.000393949978197733,-0.00326529352327677,-0.000937815191842746,-0.00231447759302287,0.00351756892517783,0.00387858315011977,0.00138809966283844,0.00097624421332215,-0.00383287305597816,-0.00631668485218088,-0.000592271432071558,-0.00254064160685701,0.00624617285917732,0.00222322344586549,-0.00408906628522766,0.000568230840796947,-0.00478109347314144,-0.000721684064932284,-0.00135336186777552,0.00306378636066037,0.00394072505128261,0.00362697173227512,-0.0038847351675953,-0.00285465653081732,0.00300159749017333,-0.00214791746251771,-0.000139471363672696,0.00248920687992434,-0.000299387811790038,0.000331371622181672,0.0028621088236687,0.00679465595234358,-0.00487487883527273,0.00108323719267308,0.00320413422614095,1.34198203209473e-05
"13","negative",0.00183019116506948,0.0246166504165478,-0.00389236416074755,-0.0026916027072738,0.000695682683666217,0.00231218958182657,-0.00203945706515309,-0.000867920089941388,0.00203480526368577,-0.00243203804026796,0.000258045526247172,0.000312083811794482,0.000263078755153676,0.00158428401523832,-0.00130693212051487,-0.00321819522531076,-0.00149372595055727,-0.000279378509756032,0.00098557728884606,0.00182456309227711,-0.000397590126776713,-0.0014538359057617,-0.0013749278798986,0.00162743346685177,0.000632151046608265,0.000762121102125719,0.00396029461128994,-0.00268885619110068,0.000601562255922718,0.00117293385477656,0.000116506546294532,0.000571460857304029,-0.000610443670722872,-0.00266893606460629,0.00410568693544804,0.00163413447560379,-0.0033623861448781,-0.001516839339943,0.00209792316623196,-0.000873901532281985,-0.00391540325648103,0.00246059098233884,0.000846912097179393,8.89364493237562e-05,0.0005193268868226,0.00240025081658022,-0.00150089681068587,-0.00506196805875212,0.000599055481786711,0.000920248806179419
"14","negative",0.00258003862078912,0.0379643861609828,-0.00607276427046173,-0.00511801218969414,-0.00379163952357226,-0.00197975025911878,-0.00721600058926371,-0.000399947315151822,0.00444221485547129,-0.00305879109701613,-0.00705078474496955,0.00665101360498923,-0.0066098337265934,-0.00272906985971767,0.00142290571430621,-0.00311403357266547,-0.0028182907379897,-0.00203413564238431,0.0017749522126084,0.00292264757453051,-0.000388709971396981,0.00325422787818989,-0.00356586961295065,0.00237076020419038,0.00160597268117925,-0.00201549735790978,0.0145405973138548,-0.00750269313463318,-0.00290868464822346,-0.00247782513292043,-0.00802734375963078,0.00868475284724905,-0.00144191556286545,-0.00731800143320283,0.0180172446943068,0.00310335429768564,-0.0082280859194388,-0.00996607139507034,0.00844574273486094,0.00629232108986151,-0.000893401055769045,-0.00172239399647586,-0.000615700405643704,-0.00107766242824094,0.0009504604495635,0.021346289999925,-0.00326862009554898,-0.0107071717378506,-0.00568010688072733,-0.00831802841822468
"15","positive",0.00518245958770809,0.0400030466533359,-0.00719875665266859,-0.00733912664110142,-0.00236349296939397,-0.0066366272324784,0.00417126221227735,0.00523875250591054,-0.0285733880759646,-0.00867904637719758,-0.0140124852574394,-0.0206738615677919,-0.00701931748970931,0.066502710354422,0.00379635332917129,-0.0311579834227608,-0.0294950067743854,0.000463028841940739,0.0368943299918706,-0.0070948896033818,0.0800339184796896,0.0630462325978429,-0.00222750011446936,0.159268294581896,-0.294136371384096,0.898942477897131,-0.158592144263221,0.013130929379313,-0.0504359653140967,-0.00619217469125365,0.0702735321981018,-0.0262057093082508,0.0451427091529392,-0.000769964621724561,-0.035861427189517,-0.0306365953371832,0.0298534717079736,-0.0275148335721781,-0.00639775084449866,0.00717342705835237,-0.00582594472949565,-0.013339458636879,-0.00421466935064062,-0.0123375839863565,-0.0121151988511236,-7.99226329631106e-05,-0.0350133989609258,-0.00968476894155144,0.00601966104223555,0.0110343228267602
"16","negative",0.00253757473003844,0.0278585358074943,-0.0017298187682948,-0.0013013241499886,-0.0021841294456123,-0.00231044360826777,-0.00430096797083171,-0.00134433961472522,0.000191815611532149,0.000302583545372779,0.000644008418992584,0.00176984309510014,-0.00670345188236179,-0.00296322233026195,0.00233243721568799,0.002727129631973,-0.000469145029072662,-0.0028168013868073,0.00306904603048155,0.00680354174991942,0.00131867443024223,0.00254802941480571,-0.004658420869191,0.00521918123805002,-0.00827493784861886,0.00177787776836441,-0.00255894559527262,-0.00154782156645296,0.00315324535673502,0.00273936356326282,-0.00591965015277385,-0.0113987863395778,0.000644788704512094,0.00885989466259542,-0.0003485334597718,0.00125727266272414,0.00347584774651889,-0.00254035416481183,0.00345130133618256,0.00213693390472508,0.0141110161700152,0.00113624561785172,-0.00436885833932347,-0.0110365246130477,-0.00566057589665853,-0.012415027563864,0.000387239159860746,0.00303127790942681,0.00345523825695335,0.000552869510009768
"17","positive",0.00366690655722427,0.0311818008619528,-0.00414225754712292,-0.00309666308737877,-0.00337090849139906,-0.000874748293135212,-0.0025819980595549,0.00179768058539157,0.00249801349224068,-0.00475296258366281,0.000467735521988951,0.000780499504467453,0.0015232999371001,0.00704936915135904,-0.00598636257624427,-0.00310314018669842,0.00410770297565361,-0.00370706636672118,-0.00220754123123071,0.000444037635028092,0.00355174481340754,-0.000722188812514668,0.000155578143666519,0.000232940820342322,-0.00309045222355128,-0.00287297238396575,0.00288379180856637,-0.00400194851269473,-0.00031069342116724,0.00320890338552847,0.0141487162517038,0.00347354457108251,-0.000170917657320386,0.00437619332748,0.00454633766766956,0.000103583938436328,-0.000800789251086902,0.0123032426443679,0.00609597750179412,0.00259723445678735,0.00264681192828194,0.00306831386880762,0.00303141343578283,-0.0019066826328125,0.00693294253243398,0.00542071153181825,-0.00176512798535292,0.000283897570342047,0.00320917062349849,0.000862383315696282
"18","negative",0.00369991924847124,0.0336103342494897,-0.00437431913051251,-0.00358790622713925,-0.00239667375500107,-0.00294311807631008,-0.00509663812208908,-0.00248596601138724,0.00337422006984519,-0.00144410068901635,-0.00391081347452937,0.00129450325717136,-0.00103843930839491,-0.00271288887574935,0.000510160751835913,-0.00603061532855624,-0.00157518435102103,-0.00198860103519514,0.00178602768424,0.00382312750678078,-0.000663065141364903,0.000878945608415506,-0.00384055515015069,0.00419432831933553,0.00554863208473868,0.00136426984841144,0.00438039160164085,-0.00499858323984105,-0.00151660204829382,0.00172878244085693,-0.00587103143639098,0.00561888955641885,-0.00364053896449406,-0.00341650503356033,0.00924444747334685,0.00276350440049978,-0.00376516915336692,-0.00795403586406613,0.00408130859075914,0.00365646198817044,-0.00525609702255724,0.00206725834363585,0.00317490388217967,-0.00484178130014827,0.0121667789438761,0.00518459947001525,-0.00171847398762813,0.00100226118113303,0.000761599875181829,-0.00828604962909671
"19","positive",0.00211058093195199,0.0312068671292256,-0.00464271492806153,-0.00126905009208184,-0.00322727364425388,-0.00233740929621498,-0.00474083132064818,-0.00363358932597643,0.003195303660933,0.00151755415895395,0.00385952991409949,0.00278965088124715,-0.010131908257697,0.00082947827301474,-0.000704408672758999,0.0066286147282568,-0.000123489680876247,-0.00199168490681063,0.00416269482840912,0.0045168567294396,0.00172250448169432,-0.00220471348192258,-0.00399808757028709,-0.00625923353766633,0.00134104077959594,-0.00212775194602517,-0.00516766369566287,-0.00311312146914138,0.00135585820811768,0.00864251578357918,-0.00741939972599188,-0.00775069447630288,0.00365973609301164,0.00285185993300413,0.00405695023205376,0.00346342952338878,0.00281419323728551,0.00576571625334254,0.00684461709742388,-0.00145506147028736,-0.00695089687130914,0.00111359382467025,-0.00526955341788638,0.0038198100828298,0.00284325061953475,0.00147884133478555,0.00068920463519416,0.0119945217917807,0.016788457137007,0.00230760494569555
"20","negative",0.00201401169195467,0.0292204699099429,-0.00155438812385917,0.00368904275550183,-0.00275650799305419,-0.00228138434716575,-0.00141036903803815,-0.00220524417305705,0.00314270065618944,-0.00459790094260175,0.000407958260663662,-0.00739634372957384,-0.00133060102113981,0.0111158329979664,0.00598340474390827,0.00242079251090718,0.00361865437385897,-0.00246680869983497,-0.0035601062410721,-4.59382743171987e-05,0.00238060383061266,-0.000497426613474402,-0.00115748163996507,0.00338662002094628,-0.00498006733235706,0.00523260373101667,0.00805414039965623,-0.00249859567166995,0.00178113288651403,0.00551468703342347,-0.00272723323904364,0.00405626536321231,-0.00821189291476643,-0.00148223810495296,0.00895050262550115,-0.000899116263837373,-0.00180956838444147,-0.000250849649964419,0.00318778340606241,-0.00879351273998753,-0.00236791079947303,0.00245541893361863,-0.00523595998917592,-0.00821290901901628,-0.00397880440652629,-0.00740320495667341,0.00699120763818769,0.00347539479871349,0.00933896213696151,0.00834988711494635
